,trackName,artistName,total_listens_track,genres
15700,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,roots rock
15701,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,singer-songwriter
15702,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,texas country
15703,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,traditional folk
15704,Farewell Transmission,Songs: Ohia,1,alternative country
15706,Farewell Transmission,Songs: Ohia,1,anti-folk
15714,Farewell Transmission,Songs: Ohia,1,stomp and holler
15707,Farewell Transmission,Songs: Ohia,1,chamber pop
15708,Farewell Transmission,Songs: Ohia,1,freak folk
15709,Farewell Transmission,Songs: Ohia,1,indie folk
15710,Farewell Transmission,Songs: Ohia,1,indie rock
15711,Farewell Transmission,Songs: Ohia,1,lo-fi
15712,Farewell Transmission,Songs: Ohia,1,roots rock
15713,Farewell Transmission,Songs: Ohia,1,slow core
15583,Fame - 1999 Remaster,David Bowie,1,dance rock
15581,Fame - 1999 Remaster,David Bowie,1,art rock
16153,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,art pop
15528,Fall Down,Crumb,1,indie garage rock
15496,Fake Love,Drake,1,hip hop
15497,Fake Love,Drake,1,pop rap
15498,Fake Love,Drake,1,rap
15499,Fake Love,Drake,1,toronto rap
15506,Fake Plastic Trees,Ramin Djawadi,1,german soundtrack
15507,Fake Plastic Trees,Ramin Djawadi,1,scorecore
15508,Fake Plastic Trees,Ramin Djawadi,1,soundtrack
15509,Fake Plastic Trees,Ramin Djawadi,1,video game music
15510,Fake Roses,The Lone Bellow,1,acoustic pop
