,trackName,artistName,total_listens_track,genres
41004,Rocky Raccoon - Remastered 2009,The Beatles,13,british invasion
26906,Keeping Dry,Allah-Las,13,indie garage rock
4234,Barbie Dreams,Nicki Minaj,13,hip pop
54738,Walk to the One You Love,Twin Peaks,13,chicago indie
3888,Back In The U.S.S.R. - Remastered 2009,The Beatles,13,rock
33820,Nervous Young Inhumans,Car Seat Headrest,13,indie punk
41515,Running Wild,Moon Taxi,13,indietronica
38399,Please Dont Ruin This for Me,Tennis,13,chamber pop
43894,Skin,Mac Miller,13,hip hop
55111,Wavy Gravy,Okey Dokey,13,indie garage rock
27470,LOGOUT,Saba,13,chicago rap
20955,Here Comes The Sun - Remastered 2009,The Beatles,13,psychedelic rock
29474,Lookout Low,Twin Peaks,13,modern power pop
28230,Let It Be - Remastered 2009,The Beatles,13,classic rock
13911,Dry the Rain,The Beta Band,13,alternative rock
27530,La Vie En Rose - Single Version,Louis Armstrong,13,soul
51322,The Way You Move (feat. Sleepy Brown),OutKast,13,dirty south rap
4668,Before Paris,Tom Misch,13,indie soul
24672,In My Life - Remastered 2009,The Beatles,13,british invasion
40184,Redemption (feat. SZA),Jay Rock,13,underground hip hop
43179,Shelter Song,Temples,13,neo-psychedelic
21570,Hold Up,Beyoncé,13,post-teen pop
1188,A-Punk,Vampire Weekend,13,baroque pop
45545,Spread Love,Mick Jenkins,13,drill
29747,Lost Somebody,A Tribe Called Quest,13,alternative hip hop
4996,Better Than Stoned,Twin Peaks,13,indie garage rock
18559,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,13,hip hop
15116,Everywhere All At Once,Post Animal,13,neo-psychedelic
55171,We (feat. CeeLo Green),Mac Miller,13,hip hop
36235,One Thing,Post Animal,13,neo-psychedelic
51729,Thinkin Bout You,Frank Ocean,13,hip hop
18942,Gonna Hurry (As Slow as I Can),Whitney,13,indie folk
4254,Barely Legal,The Strokes,13,garage rock
53832,Unforgiving Girl (Shes Not An),Car Seat Headrest,13,chamber pop
2421,Alright,Kendrick Lamar,13,west coast rap
32105,Mobius,A Tribe Called Quest,13,gangster rap
29256,Lonely,Drugdealer,13,experimental pop
9356,Cigarette Daydreams,Cage The Elephant,13,rock
15622,Famous Prophets (Stars),Car Seat Headrest,13,art pop
11155,D.R.A.M. Sings Special,Chance the Rapper,13,conscious hip hop
21931,Hoodoo Voodoo,Billy Bragg,13,roots rock
27157,King Kunta,Kendrick Lamar,13,conscious hip hop
26449,Julia - Remastered 2009,The Beatles,13,merseybeat
50631,The Palace,Father John Misty,13,indie pop
33660,Necessary Evil,Unknown Mortal Orchestra,13,new rave
15736,Fat Chance,Twin Peaks,13,modern power pop
13609,Dreams from Yesterday,Mac DeMarco,13,edmonton indie
32079,Mixtape (feat. Young Thug & Lil Yachty),Chance the Rapper,13,rap
33287,My Ladys On Fire,Ty Segall,13,noise pop
12458,Diane Young,Vampire Weekend,13,baroque pop
42409,Sea of Nothing,Drugdealer,13,experimental pop
8194,Carolina in My Mind,James Taylor,13,soft rock
20674,Heavy Hearted,The Jungle Giants,13,indietronica
33182,My Favorite Part,Mac Miller,13,hip hop
51103,The Times They Are A-Changin,Bob Dylan,13,singer-songwriter
51617,These Walls,Kendrick Lamar,13,hip hop
22218,How Good It Feels,Lake Street Dive,13,new americana
54369,Vincent,Car Seat Headrest,13,alternative rock
30076,Love/Paranoia,Tame Impala,13,australian psych
