,artistName,total_listens,genres
9282,Toro Y Moi,59,indie soul
9281,Toro Y Moi,59,indie pop
9280,Toro Y Moi,59,chillwave
9279,Toro Y Moi,59,art pop
8801,The Postal Service,59,seattle indie
8798,The Postal Service,59,indie rock
8797,The Postal Service,59,indie pop
8800,The Postal Service,59,modern rock
2318,Disclosure,59,house
2319,Disclosure,59,pop
2320,Disclosure,59,tropical house
2321,Disclosure,59,uk dance
9285,Toro Y Moi,59,nu gaze
4725,Kid Cudi,58,rap
4724,Kid Cudi,58,pop rap
4723,Kid Cudi,58,hip hop
5126,Louis Armstrong,56,soul
5124,Louis Armstrong,56,jazz trumpet
5125,Louis Armstrong,56,new orleans jazz
5123,Louis Armstrong,56,dixieland
10111,together PANGEA,56,indie punk
5127,Louis Armstrong,56,swing
5128,Louis Armstrong,56,vocal jazz
10110,together PANGEA,56,indie garage rock
5122,Louis Armstrong,56,adult standards
294,Anderson .Paak,50,escape room
7245,Sam Evian,50,freak folk
7246,Sam Evian,50,garage psych
7250,Sam Evian,50,neo-psychedelic
7244,Sam Evian,50,experimental pop
4263,Joey Dosik,50,retro soul
4262,Joey Dosik,50,indie soul
7247,Sam Evian,50,indie folk
7248,Sam Evian,50,indie garage rock
7249,Sam Evian,50,indie rock
8487,The Flaming Lips,49,rock
8486,The Flaming Lips,49,okc indie
8485,The Flaming Lips,49,noise pop
8484,The Flaming Lips,49,modern rock
8482,The Flaming Lips,49,indie pop
8481,The Flaming Lips,49,garage rock
8480,The Flaming Lips,49,chamber pop
8479,The Flaming Lips,49,art rock
8478,The Flaming Lips,49,alternative rock
8483,The Flaming Lips,49,indie rock
4102,Jazz Spastiks,48,jazz rap
4100,Jazz Spastiks,48,chillhop
4101,Jazz Spastiks,48,jazz boom bap
4064,Jay Rock,47,southern hip hop
4062,Jay Rock,47,pop rap
4061,Jay Rock,47,hip hop
4060,Jay Rock,47,gangster rap
4065,Jay Rock,47,trap
4066,Jay Rock,47,underground hip hop
4063,Jay Rock,47,rap
4059,Jay Rock,47,conscious hip hop
102,Acid Dad,46,neo-psychedelic
1868,Crumb,45,indie garage rock
1869,Crumb,45,neo-psychedelic
108,Action Bronson,44,rap
107,Action Bronson,44,queens hip hop
110,Action Bronson,44,underground hip hop
3067,Frank Sinatra,44,adult standards
3068,Frank Sinatra,44,easy listening
3069,Frank Sinatra,44,lounge
104,Action Bronson,44,east coast hip hop
103,Action Bronson,44,alternative hip hop
109,Action Bronson,44,southern hip hop
105,Action Bronson,44,hip hop
106,Action Bronson,44,nyc rap
3261,Generationals,43,new orleans indie
3675,Hiatus Kaiyote,43,neo r&b
3255,Generationals,43,chamber pop
3256,Generationals,43,chillwave
3254,Generationals,43,alternative dance
3260,Generationals,43,modern rock
3257,Generationals,43,indie pop
3263,Generationals,43,stomp and holler
3676,Hiatus Kaiyote,43,shiver pop
3258,Generationals,43,indie rock
3259,Generationals,43,indietronica
3674,Hiatus Kaiyote,43,indie soul
3673,Hiatus Kaiyote,43,indie jazz
3671,Hiatus Kaiyote,43,alternative r&b
3672,Hiatus Kaiyote,43,australian r&b
3262,Generationals,43,shimmer pop
7870,Sturgill Simpson,41,roots rock
4718,Khruangbin,41,funk
4719,Khruangbin,41,neo-psychedelic
4720,Khruangbin,41,soul
7866,Sturgill Simpson,41,alternative americana
6596,Polo & Pan,41,new french touch
7867,Sturgill Simpson,41,nashville singer-songwriter
7869,Sturgill Simpson,41,outlaw country
6595,Polo & Pan,41,french indietronica
6594,Polo & Pan,41,french indie pop
6593,Polo & Pan,41,dark disco
7868,Sturgill Simpson,41,new americana
2689,Eminem,40,detroit hip hop
2691,Eminem,40,hip hop
2690,Eminem,40,g funk
2692,Eminem,40,rap
5248,Mac Demarco,39,edmonton indie
5819,Mt. Joy,39,indie folk
3737,Houndmouth,39,modern rock
3736,Houndmouth,39,modern folk rock
3735,Houndmouth,39,indie rock
3734,Houndmouth,39,indie pop
3733,Houndmouth,39,indie folk
3738,Houndmouth,39,new americana
3739,Houndmouth,39,stomp and holler
5822,Mt. Joy,39,stomp and holler
5820,Mt. Joy,39,indie pop
5821,Mt. Joy,39,modern rock
3732,Houndmouth,39,deep new americana
6390,Paul McCartney,38,art rock
6391,Paul McCartney,38,classic rock
6389,Paul McCartney,38,album rock
6393,Paul McCartney,38,mellow gold
492,BADBADNOTGOOD,38,canadian modern jazz
491,BADBADNOTGOOD,38,alternative hip hop
6392,Paul McCartney,38,folk rock
9931,Young Thug,38,melodic rap
6395,Paul McCartney,38,soft rock
494,BADBADNOTGOOD,38,indie soul
9932,Young Thug,38,pop rap
9933,Young Thug,38,rap
9929,Young Thug,38,atl trap
9928,Young Thug,38,atl hip hop
4917,Lawrence,38,retro soul
4916,Lawrence,38,nyc pop
4915,Lawrence,38,modern funk
7239,Sam Cooke,38,adult standards
6394,Paul McCartney,38,rock
7241,Sam Cooke,38,classic soul
7242,Sam Cooke,38,rock-and-roll
493,BADBADNOTGOOD,38,escape room
9934,Young Thug,38,trap
